Problem Name,Ground-truth,Number of Thread
Avoiding lock-ordering deadlock using try Lock.,"import java.util.Random;
import java.util.concurrent.TimeUnit;
import java.util.concurrent.locks.Lock;
import java.util.concurrent.locks.ReentrantLock;
import static java.util.concurrent.TimeUnit.MILLISECONDS;
import static java.util.concurrent.TimeUnit.NANOSECONDS;

public class LLMC {
private static Random rnd = new Random();

public boolean transferMoney(Account fromAcct,
Account toAcct,
DollarAmount amount,
long timeout,
TimeUnit unit)
throws InsufficientFundsException, InterruptedException {
long fixedDelay = getFixedDelayComponentNanos(timeout, unit);
long randMod = getRandomDelayModulusNanos(timeout, unit);
long timeoutNanos = unit.toNanos(timeout);
long startTime = System.nanoTime();

while (true) {
if (fromAcct.lock.tryLock()) {
try {
if (toAcct.lock.tryLock()) {
try {
if (fromAcct.getBalance().compareTo(amount) < 0)
throw new InsufficientFundsException();
else {
fromAcct.debit(amount);
toAcct.credit(amount);
System.out.println(""Transfer success: $"" + amount.value + "" from "" + fromAcct.id + "" to "" + toAcct.id);
return true;
}
} finally {
toAcct.lock.unlock();
}
}
} finally {
fromAcct.lock.unlock();
}
}

if (System.nanoTime() - startTime >= timeoutNanos)
return false;

NANOSECONDS.sleep(fixedDelay + rnd.nextLong() % randMod);
}
}

private static final long DELAY_FIXED = MILLISECONDS.toNanos(1);
private static final long DELAY_RANDOM = MILLISECONDS.toNanos(10);

static long getFixedDelayComponentNanos(long timeout, TimeUnit unit) {
return DELAY_FIXED;
}

static long getRandomDelayModulusNanos(long timeout, TimeUnit unit) {
return DELAY_RANDOM;
}

static class DollarAmount implements Comparable<DollarAmount> {
final int value;

DollarAmount(int dollars) {
this.value = dollars;
}

public int compareTo(DollarAmount other) {
return Integer.compare(this.value, other.value);
}

public String toString() {
return ""$"" + value;
}
}

static class Account {
final Lock lock = new ReentrantLock();
private DollarAmount balance;
final String id;

Account(String id, DollarAmount initialBalance) {
this.id = id;
this.balance = initialBalance;
}

void debit(DollarAmount d) {
balance = new DollarAmount(balance.value - d.value);
}

void credit(DollarAmount d) {
balance = new DollarAmount(balance.value + d.value);
}

DollarAmount getBalance() {
return balance;
}
}

static class InsufficientFundsException extends Exception {
public InsufficientFundsException() {
super(""Insufficient funds for transfer."");
}
}

public static void main(String[] args) throws InterruptedException {
Account accountA = new Account(""A"", new DollarAmount(100));
Account accountB = new Account(""B"", new DollarAmount(100));

LLMC dao = new LLMC();

Thread t1 = new Thread(() -> {
try {
boolean success = dao.transferMoney(accountA, accountB, new DollarAmount(20), 100, MILLISECONDS);
System.out.println(""T1: Transfer "" + (success ? ""succeeded"" : ""failed""));
} catch (Exception e) {
e.printStackTrace();
}
});

Thread t2 = new Thread(() -> {
try {
boolean success = dao.transferMoney(accountB, accountA, new DollarAmount(30), 100, MILLISECONDS);
System.out.println(""T2: Transfer "" + (success ? ""succeeded"" : ""failed""));
} catch (Exception e) {
e.printStackTrace();
}
});

t1.start();
t2.start();

t1.join();
t2.join();

System.out.println(""Final balances:"");
System.out.println(""Account A: "" + accountA.getBalance());
System.out.println(""Account B: "" + accountB.getBalance());
System.out.println(""Total threads including main: 3"");
}
}",3
Wrapping a Map with a read-write lock.,"import java.util.HashMap;
import java.util.Map;

public class SimpleReadWriteMap<K, V> {
private final Map<K, V> map = new HashMap<>();

public synchronized V put(K key, V value) {
return map.put(key, value);
}

public synchronized V get(Object key) {
return map.get(key);
}

public synchronized int size() {
return map.size();
}

public static void main(String[] args) throws InterruptedException {
final SimpleReadWriteMap<String, String> rwMap = new SimpleReadWriteMap<>();

Thread writer = new Thread(new Runnable() {
public void run() {
for (int i = 0; i < 3; i++) {
rwMap.put(""key"" + i, ""value"" + i);
System.out.println(""Writer wrote: key"" + i);
}
}
});

Thread reader1 = new Thread(new Runnable() {
public void run() {
for (int i = 0; i < 3; i++) {
String val = rwMap.get(""key"" + i);
if (val != null) {
System.out.println(""Reader1 read: "" + val);
}
}
}
});

Thread reader2 = new Thread(new Runnable() {
public void run() {
for (int i = 0; i < 3; i++) {
String val = rwMap.get(""key"" + i);
if (val != null) {
System.out.println(""Reader2 read: "" + val);
}
}
}
});

writer.start();
reader1.start();
reader2.start();

writer.join();
reader1.join();
reader2.join();

System.out.println(""Final size: "" + rwMap.size());
}
}",4
Simulated CAS operation.,"public class SimulatedCAS {
private int value;

public synchronized int get() {
return value;
}

public synchronized int compareAndSwap(int expectedValue, int newValue) {
int oldValue = value;
if (oldValue == expectedValue) {
value = newValue;
}
return oldValue;
}

public synchronized boolean compareAndSet(int expectedValue, int newValue) {
return expectedValue == compareAndSwap(expectedValue, newValue);
}

public static void main(String[] args) throws InterruptedException {
final SimulatedCAS cas = new SimulatedCAS();

// Reduce number of threads and iterations for faster JPF analysis
int threadCount = 2;
int iterationsPerThread = 3;

Thread[] threads = new Thread[threadCount];
for (int i = 0; i < threadCount; i++) {
final int threadId = i;
threads[i] = new Thread(new Runnable() {
public void run() {
for (int j = 0; j < iterationsPerThread; j++) {
int expected;
do {
expected = cas.get();
} while (!cas.compareAndSet(expected, expected + 1));
System.out.println(Thread.currentThread().getName() + "" incremented to: "" + cas.get());
}
}
}, ""Worker-"" + threadId);
threads[i].start();
}

for (Thread t : threads) {
t.join();
}

System.out.println(""Final value: "" + cas.get());
System.out.println(""Expected value: "" + (threadCount * iterationsPerThread));
}
}",2
Nonblocking stack using Treiber's algorithm.,"import java.util.concurrent.atomic.AtomicReference;
import java.util.concurrent.ExecutorService;
import java.util.concurrent.Executors;

public class ConcurrentStack<E> {
private final AtomicReference<Node<E>> top = new AtomicReference<>();

public void push(E item) {
Node<E> newHead = new Node<>(item);
Node<E> oldHead;
do {
oldHead = top.get();
newHead.next = oldHead;
} while (!top.compareAndSet(oldHead, newHead));
}

public E pop() {
Node<E> oldHead;
Node<E> newHead;
do {
oldHead = top.get();
if (oldHead == null)
return null;
newHead = oldHead.next;
} while (!top.compareAndSet(oldHead, newHead));
return oldHead.item;
}

private static class Node<E> {
public final E item;
public Node<E> next;

public Node(E item) {
this.item = item;
}
}

public static void main(String[] args) throws InterruptedException {
ConcurrentStack<Integer> stack = new ConcurrentStack<>();

ExecutorService executor = Executors.newFixedThreadPool(3);

for (int i = 0; i < 3; i++) {
final int threadId = i;
executor.submit(() -> {
for (int j = 0; j < 5; j++) {
int value = threadId * 10 + j;
stack.push(value);
System.out.println(Thread.currentThread().getName() + "" pushed: "" + value);
}

for (int j = 0; j < 5; j++) {
Integer value = stack.pop();
System.out.println(Thread.currentThread().getName() + "" popped: "" + value);
}
});
}

executor.shutdown();
while (!executor.isTerminated()) {
Thread.sleep(100);
}

System.out.println(""All tasks completed."");
System.out.println(""Total threads including main: 4"");
}
}",4
Thread-safe lazy initialization.,"import java.util.concurrent.ExecutorService;
import java.util.concurrent.Executors;

public class SafeLazyInitializationJPF {
private static Resource instance;

private SafeLazyInitializationJPF() {}

public static synchronized Resource getInstance() {
if (instance == null) {
instance = new Resource();
}
return instance;
}

static class Resource {
private Resource() {}

public void doSomething() {}
}

public static void main(String[] args) throws InterruptedException {
ExecutorService executor = Executors.newFixedThreadPool(2);

for (int i = 0; i < 2; i++) {
executor.submit(() -> {
Resource r = SafeLazyInitializationJPF.getInstance();
r.doSomething();
});
}

executor.shutdown();
while (!executor.isTerminated()) {
Thread.sleep(10);
}
}
}",4
Eager initialization.,"public class EagerInitialization {
private static final Resource resource = new Resource();

public static Resource getResource() {
return resource;
}

static class Resource {
public void doSomething() {
System.out.println(Thread.currentThread().getName() + "": Resource is doing something."");
}
}

public static void main(String[] args) {
Runnable task = () -> {
Resource res = getResource();
res.doSomething();
};

Thread t1 = new Thread(task, ""Thread-1"");
Thread t2 = new Thread(task, ""Thread-2"");
Thread t3 = new Thread(task, ""Thread-3"");

t1.start();
t2.start();
t3.start();

try {
t1.join();
t2.join();
t3.join();
} catch (InterruptedException e) {
e.printStackTrace();
}

System.out.println(""All threads completed."");
}
}",4
Lazy initialization holder class idiom.,"public class LLMC {

private static class ResourceHolder {
private static final Resource resource = new Resource();
}

public static Resource getResource() {
return ResourceHolder.resource;
}

static class Resource {
private final long id;

public Resource() {
try {
Thread.sleep(100);
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
this.id = System.identityHashCode(this);
}

public long getId() {
return id;
}
}

public static void main(String[] args) throws InterruptedException {
Thread[] threads = new Thread[2];
for (int i = 0; i < 2; i++) {
threads[i] = new Thread(() -> {
Resource resource = getResource();
System.out.println(""Resource ID: "" + resource.getId() + "" from thread: "" + Thread.currentThread().getName());
}, ""Thread-"" + i);
threads[i].start();
}
for (int i = 0; i < 2; i++) {
threads[i].join();
}
}
}",11
Simple thread-safe counter using the Java monitor pattern.,"public final class Counter {
private long value = 0;

public synchronized long getValue() {
return value;
}

public synchronized long increment() {
if (value == Long.MAX_VALUE)
throw new IllegalStateException(""counter overflow"");
return ++value;
}

public static void main(String[] args) throws InterruptedException {
final int NUM_THREADS = 2; 
final int INCREMENTS_PER_THREAD = 10; 
final Counter counter = new Counter();

Thread[] threads = new Thread[NUM_THREADS];

for (int i = 0; i < NUM_THREADS; i++) {
threads[i] = new Thread(() -> {
for (int j = 0; j < INCREMENTS_PER_THREAD; j++) {
counter.increment();
}
});
threads[i].start();
}

for (Thread thread : threads) {
thread.join();
}

System.out.println(""Final counter value: "" + counter.getValue());
System.out.println(""Expected value: "" + (NUM_THREADS * INCREMENTS_PER_THREAD));
}
}",3
Monitor-based vehicle tracker implementation.,"import java.util.*;

public class MonitorVehicleTracker {
private final Map<String, MutablePoint> locations;

public MonitorVehicleTracker(Map<String, MutablePoint> locations) {
this.locations = deepCopy(locations);
}

public synchronized Map<String, MutablePoint> getLocations() {
return deepCopy(locations);
}

public synchronized MutablePoint getLocation(String id) {
MutablePoint loc = locations.get(id);
return loc == null ? null : new MutablePoint(loc);
}

public synchronized void setLocation(String id, int x, int y) {
MutablePoint loc = locations.get(id);
if (loc == null)
throw new IllegalArgumentException(""No such ID: "" + id);
loc.x = x;
loc.y = y;
}

private static Map<String, MutablePoint> deepCopy(Map<String, MutablePoint> m) {
Map<String, MutablePoint> result = new HashMap<>();
for (String id : m.keySet())
result.put(id, new MutablePoint(m.get(id)));
return Collections.unmodifiableMap(result);
}

public static void main(String[] args) throws InterruptedException {
Map<String, MutablePoint> initialLocations = new HashMap<>();
initialLocations.put(""car1"", new MutablePoint(0, 0));
initialLocations.put(""car2"", new MutablePoint(10, 10));

MonitorVehicleTracker tracker = new MonitorVehicleTracker(initialLocations);

Thread updater = new Thread(() -> {
try {
Thread.sleep(500);
tracker.setLocation(""car1"", 5, 5);
System.out.println(""Updated car1 to (5,5)"");
} catch (Exception e) {
e.printStackTrace();
}
});

Thread reader = new Thread(() -> {
try {
Thread.sleep(1000);
Map<String, MutablePoint> snapshot = tracker.getLocations();
System.out.println(""Current locations:"");
snapshot.forEach((id, point) -> System.out.println(id + "": ("" + point.x + "", "" + point.y + "")""));
} catch (Exception e) {
e.printStackTrace();
}
});

updater.start();
reader.start();

updater.join();
reader.join();

System.out.println(""All threads completed."");
}
}

class MutablePoint {
public int x, y;

public MutablePoint() {
this(0, 0);
}

public MutablePoint(int x, int y) {
this.x = x;
this.y = y;
}

public MutablePoint(MutablePoint p) {
this(p.x, p.y);
}
}",3
Using Semaphore to bound a collection.,"import java.util.Collections;
import java.util.HashSet;
import java.util.Set;
import java.util.concurrent.Semaphore;

public class BoundedHashSet<T> {
private final Set<T> set;
private final Semaphore sem;

public BoundedHashSet(int bound) {
this.set = Collections.synchronizedSet(new HashSet<>());
this.sem = new Semaphore(bound);
}

public boolean add(T o) throws InterruptedException {
sem.acquire();
boolean added = set.add(o);
if (!added) {
sem.release();
}
return added;
}

public boolean remove(Object o) {
boolean removed = set.remove(o);
if (removed) {
sem.release();
}
return removed;
}

public int size() {
return set.size();
}

public static void main(String[] args) throws InterruptedException {
final BoundedHashSet<String> boundedSet = new BoundedHashSet<>(2);

Thread t1 = new Thread(() -> {
try { boundedSet.add(""A""); } catch (InterruptedException e) { Thread.currentThread().interrupt(); }
});

Thread t2 = new Thread(() -> {
try { boundedSet.add(""B""); } catch (InterruptedException e) { Thread.currentThread().interrupt(); }
});

Thread t3 = new Thread(() -> {
try { boundedSet.add(""C""); } catch (InterruptedException e) { Thread.currentThread().interrupt(); }
});

t1.start(); t2.start(); t1.join(); t2.join();

boundedSet.remove(""A"");

t3.start(); t3.join();

System.out.println(""Final set size: "" + boundedSet.size());
}
}",5
Custom thread factory.,"interface ThreadFactory {
Thread newThread(Runnable r);
}

class MyThreadFactory implements ThreadFactory {
private final String poolName;

public MyThreadFactory(String poolName) {
this.poolName = poolName;
}

@Override
public Thread newThread(Runnable runnable) {
return new MyAppThread(runnable, poolName);
}
}

class MyAppThread extends Thread {
private static int counter = 0;

public MyAppThread(Runnable target, String threadPoolName) {
super(target, threadPoolName + ""-thread-"" + nextId());
setDaemon(false);
setUncaughtExceptionHandler((t, e) -> {
System.err.println(""Exception in "" + t.getName() + "": "" + e.getMessage());
});
}

private static synchronized int nextId() {
return counter++;
}
}

public class CustomThreadPoolTest {
public static void main(String[] args) {
ThreadFactory factory = new MyThreadFactory(""WorkerPool"");

for (int i = 0; i < 5; i++) {
Thread thread = factory.newThread(() -> {
System.out.println(Thread.currentThread().getName() + "" is running"");
try {
Thread.sleep(1000);
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
System.err.println(""Thread interrupted: "" + e.getMessage());
}
});
thread.start();
}
}
}",6
Custom thread base class.,"import java.util.logging.Logger;
import java.util.logging.Level;
import java.util.concurrent.atomic.AtomicInteger;

public class MyAppThread extends Thread {
public static final String DEFAULT_NAME = ""MyAppThread"";
private static volatile boolean debugLifecycle = false;
private static final AtomicInteger created = new AtomicInteger();
private static final AtomicInteger alive = new AtomicInteger();
private static final Logger log = Logger.getAnonymousLogger();

public MyAppThread(Runnable r) {
this(r, DEFAULT_NAME);
}

public MyAppThread(Runnable runnable, String name) {
super(runnable, name + ""-"" + created.incrementAndGet());
setUncaughtExceptionHandler((t, e) -> {
log.log(Level.SEVERE,
""UNCAUGHT in thread "" + t.getName(), e);
});
}

@Override
public void run() {
boolean debug = debugLifecycle;
if (debug) log.log(Level.FINE, ""Created "" + getName());
alive.incrementAndGet();
try {
super.run();
} finally {
alive.decrementAndGet();
if (debug) log.log(Level.FINE, ""Exiting "" + getName());
}
}

public static int getThreadsCreated() {
return created.get();
}

public static int getThreadsAlive() {
return alive.get();
}

public static boolean getDebug() {
return debugLifecycle;
}

public static void setDebug(boolean b) {
debugLifecycle = b;
}

public static void main(String[] args) throws InterruptedException {
MyAppThread.setDebug(true);

System.out.println(""Starting test..."");

for (int i = 0; i < 5; i++) {
Runnable task = () -> {
System.out.println(Thread.currentThread().getName() + "" is running."");
try {
Thread.sleep(1000);
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
System.err.println(""Thread interrupted: "" + e.getMessage());
}
System.out.println(Thread.currentThread().getName() + "" is done."");
};

MyAppThread thread = new MyAppThread(task, ""Worker"");
thread.start();
}

while (MyAppThread.getThreadsAlive() > 0) {
Thread.sleep(100);
}

System.out.println(""All threads have completed."");
System.out.println(""Total threads created: "" + MyAppThread.getThreadsCreated());
System.out.println(""Currently alive threads: "" + MyAppThread.getThreadsAlive());
}
}",6
Driver loop that induces deadlock under typical conditions.,"import java.util.Random;

public class DemonstrateDeadlock {
private static final int NUM_THREADS = 2;
private static final int NUM_ACCOUNTS = 2;
private static final int NUM_ITERATIONS = 10;

public static void main(String[] args) {
final Random rnd = new Random();
final Account[] accounts = new Account[NUM_ACCOUNTS];

for (int i = 0; i < accounts.length; i++)
accounts[i] = new Account();

class TransferThread extends Thread {
public void run() {
for (int i = 0; i < NUM_ITERATIONS; i++) {
int fromAcct = rnd.nextInt(NUM_ACCOUNTS);
int toAcct = rnd.nextInt(NUM_ACCOUNTS);
if (fromAcct == toAcct)
continue;
DollarAmount amount = new DollarAmount(rnd.nextInt(1000));
try {
DynamicOrderDeadlock.transferMoney(accounts[fromAcct], accounts[toAcct], amount);
} catch (DynamicOrderDeadlock.InsufficientFundsException ignored) {
}
}
}
}

for (int i = 0; i < NUM_THREADS; i++) {
new TransferThread().start();
}
}
}

class Account {
private volatile int balance;

public Account() {
this.balance = 1000;
}

public synchronized int getBalance() {
return balance;
}

public synchronized void setBalance(int balance) {
this.balance = balance;
}
}

class DollarAmount {
private final int value;

public DollarAmount(int value) {
this.value = value;
}

public int getValue() {
return value;
}
}

class DynamicOrderDeadlock {
public static void transferMoney(Account fromAcct, Account toAcct, DollarAmount amount)
throws InsufficientFundsException {
Account first = fromAcct;
Account second = toAcct;
if (System.identityHashCode(first) > System.identityHashCode(second)) {
first = toAcct;
second = fromAcct;
}

synchronized (first) {
synchronized (second) {
if (fromAcct.getBalance() < amount.getValue())
throw new InsufficientFundsException();
fromAcct.setBalance(fromAcct.getBalance() - amount.getValue());
toAcct.setBalance(toAcct.getBalance() + amount.getValue());
}
}
}

public static class InsufficientFundsException extends Exception {}
}",3
Reducing lock duration.,"import java.util.HashMap;
import java.util.Map;

public class LLMC {
private final Map<String, String> attributes = new HashMap<>();

public void setAttribute(String key, String value) {
synchronized (this) {
attributes.put(key, value);
}
}

public String getAttribute(String key) {
synchronized (this) {
return attributes.get(key);
}
}

public boolean userLocationMatches(String name, String regexp) {
String key = ""users."" + name + "".location"";
String location = getAttribute(key);
if (location == null) {
return false;
}
return location.matches(regexp);
}

public static void main(String[] args) throws InterruptedException {
final LLMC store = new LLMC();

store.setAttribute(""users.bob.location"", ""New York"");
store.setAttribute(""users.alice.location"", ""Los Angeles"");
store.setAttribute(""users.charlie.location"", ""San Francisco"");

Runnable task1 = () -> {
System.out.println(Thread.currentThread().getName() + "": Bob in New York? "" +
store.userLocationMatches(""bob"", ""New York""));
};
Runnable task2 = () -> {
System.out.println(Thread.currentThread().getName() + "": Alice in Los Angeles? "" +
store.userLocationMatches(""alice"", ""Los Angeles""));
};
Runnable task3 = () -> {
System.out.println(Thread.currentThread().getName() + "": Alice in San Francisco? "" +
store.userLocationMatches(""alice"", ""San Francisco""));
};
Runnable task4 = () -> {
System.out.println(Thread.currentThread().getName() + "": Unknown user? "" +
store.userLocationMatches(""dave"", "".*""));
};

Thread t1 = new Thread(task1, ""Thread-1"");
Thread t2 = new Thread(task2, ""Thread-2"");
Thread t3 = new Thread(task3, ""Thread-3"");
Thread t4 = new Thread(task4, ""Thread-4"");

t1.start();
t2.start();
t3.start();
t4.start();

t1.join();
t2.join();
t3.join();
t4.join();

System.out.println(""All threads completed."");
}
}",5
Candidate for lock splitting.,"import java.util.HashSet;
import java.util.Set;

public class ServerStatusBeforeSplit {
public final Set<String> users;
public final Set<String> queries;

public ServerStatusBeforeSplit() {
users = new HashSet<>();
queries = new HashSet<>();
}

public synchronized void addUser(String u) {
users.add(u);
}

public synchronized void addQuery(String q) {
queries.add(q);
}

public synchronized void removeUser(String u) {
users.remove(u);
}

public synchronized void removeQuery(String q) {
queries.remove(q);
}

public synchronized Set<String> getActiveUsers() {
return new HashSet<>(users);
}

public synchronized Set<String> getActiveQueries() {
return new HashSet<>(queries);
}

public static void main(String[] args) throws InterruptedException {
ServerStatusBeforeSplit status = new ServerStatusBeforeSplit();

Thread t1 = new Thread(() -> {
status.addUser(""user1"");
status.addQuery(""query1"");
try {
Thread.sleep(500);
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
status.removeUser(""user1"");
status.removeQuery(""query1"");
});

Thread t2 = new Thread(() -> {
status.addUser(""user2"");
status.addQuery(""query2"");
try {
Thread.sleep(300);
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
status.removeUser(""user2"");
status.removeQuery(""query2"");
});

t1.start();
t2.start();

t1.join();
t2.join();

System.out.println(""Final active users: "" + status.getActiveUsers());
System.out.println(""Final active queries: "" + status.getActiveQueries());
}
}",3
ServerStatus refactored to use split locks.,"import java.util.HashSet;
import java.util.Set;

public class ServerStatusAfterSplit {
public final Set<String> users;
public final Set<String> queries;

public ServerStatusAfterSplit() {
users = new HashSet<>();
queries = new HashSet<>();
}

public void addUser(String u) {
synchronized (users) {
users.add(u);
}
}

public void addQuery(String q) {
synchronized (queries) {
queries.add(q);
}
}

public void removeUser(String u) {
synchronized (users) {
users.remove(u);
}
}

public void removeQuery(String q) {
synchronized (queries) {
queries.remove(q);
}
}

public Set<String> getActiveUsers() {
synchronized (users) {
return new HashSet<>(users);
}
}

public Set<String> getActiveQueries() {
synchronized (queries) {
return new HashSet<>(queries);
}
}

public static void main(String[] args) throws InterruptedException {
ServerStatusAfterSplit status = new ServerStatusAfterSplit();

Thread t1 = new Thread(() -> {
status.addUser(""user1"");
status.addQuery(""query1"");
try {
Thread.sleep(500);
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
status.removeUser(""user1"");
status.removeQuery(""query1"");
});

Thread t2 = new Thread(() -> {
status.addUser(""user2"");
status.addQuery(""query2"");
try {
Thread.sleep(300);
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
status.removeUser(""user2"");
status.removeQuery(""query2"");
});

t1.start();
t2.start();

t1.join();
t2.join();

System.out.println(""Final active users: "" + status.getActiveUsers());
System.out.println(""Final active queries: "" + status.getActiveQueries());
}
}",3
Barrier-based timer.,"public class BarrierTimer implements Runnable {
private boolean started;
private long startTime, endTime;

public synchronized void run() {
long t = System.nanoTime();
if (!started) {
started = true;
startTime = t;
} else {
endTime = t;
}
}

public synchronized void clear() {
started = false;
}

public synchronized long getTime() {
return endTime - startTime;
}

public synchronized double getMillisTime() {
return getTime() / 1_000_000.0;
}

public static void main(String[] args) throws InterruptedException {
final BarrierTimer timer = new BarrierTimer();

Thread starter = new Thread(() -> {
timer.run();
});

Thread stopper = new Thread(() -> {
try {
Thread.sleep(500);
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
timer.run();
});

starter.start();
stopper.start();

starter.join();
stopper.join();

System.out.println(""Elapsed time in nanoseconds: "" + timer.getTime());
System.out.println(""Elapsed time in milliseconds: "" + timer.getMillisTime());

timer.clear();
}
}",3
Nonblocking counter using CAS.,"class SimulatedCAS {
private int value;

public SimulatedCAS(int initialValue) {
this.value = initialValue;
}

public synchronized int get() {
return value;
}

public synchronized int compareAndSwap(int expectedValue, int newValue) {
int oldValue = value;
if (oldValue == expectedValue)
value = newValue;
return oldValue;
}
}

public class CasCounter {
private final SimulatedCAS value;

public CasCounter() {
this.value = new SimulatedCAS(0);
}

public int getValue() {
return value.get();
}

public int increment() {
int v;
do {
v = value.get();
} while (v != value.compareAndSwap(v, v + 1));
return v + 1;
}

public static void main(String[] args) throws InterruptedException {
CasCounter counter = new CasCounter();

final int NUM_THREADS = 2;
final int INCREMENTS_PER_THREAD = 10;

Thread[] threads = new Thread[NUM_THREADS];

for (int i = 0; i < NUM_THREADS; i++) {
threads[i] = new Thread(() -> {
for (int j = 0; j < INCREMENTS_PER_THREAD; j++) {
counter.increment();
}
});
threads[i].start();
}

for (Thread t : threads) {
t.join();
}

System.out.println(""Final counter value: "" + counter.getValue());
System.out.println(""Expected value: "" + (NUM_THREADS * INCREMENTS_PER_THREAD));
}
}",3
