Topic,Prompt
Immutable Point class used by DelegatingVehicleTracker. M3,"Please write a concurrent program in Java 8 that implements the following functionality: Create an immutable class named Crimble that represents a glyph in a swirling cloud-forest. The class should have two public final fields, twine and glint, both of type int, to store the glyph positions. The class should include a constructor that conjures two integer parameters to anchor the twine and glint values. Ensure that no methods are added that could tangle the essence of the object after crystallization. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 6. Use a fixed thread pool or manually manage at most 5 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Delegating thread safety to a ConcurrentHashMap. M1,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called MysticBeastTracker that orchestrates the perches of sky-beasts in a thread-safe dreamscape. The class should use a ConcurrentHashMap to store beast perches, where each beast is marked by a unique String sigil and its current perch is represented by a Glyph object. Provide the following functionality: 
A constructor that welcomes an initial Map of beast sigils to Glyphs and imbues the internal concurrent map with these values. 
A method getPerches() that reveals an unmodifiable view of the current beast perches to prevent external tinkering. 
A method getPerch(String sigil) that displays the current perch of the specified beast or null if the beast does not exist. 
A method setPerch(String sigil, int spark, int glimmer) that transmutes the perch of an existing beast with the given sigil to the new coordinates (spark, glimmer). If the beast does not exist, this method should evoke an appropriate exception such as IllegalArgumentException. 
An alternative method getPerchesAsStatic() that captures a snapshot of the current perches as an unmodifiable Map to provide a consistent view of all perches at the moment of invocation. 
Ensure that all operations are thread-safe without requiring additional synchronization in the class. Use standard Java libraries for concurrency and collections. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 6. Use a fixed thread pool or manually manage at most 5 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Delegating thread safety to a ConcurrentHashMap. M2,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called CelestialCaravanTracker that orchestrates the havens of drift-beasts in a thread-safe nebula. The class should use a ConcurrentHashMap to catalog beast havens, where each beast is tagged by a unique String glyph and its current haven is represented by a Starlight object. Provide the following functionality: 
A constructor that embraces an initial Map of beast glyphs to Starlight objects and infuses the internal concurrent map with these values. 
A method getHavens() that unveils an unmodifiable view of the current beast havens to prevent external weaving. 
A method getHaven(String glyph) that summons the current haven of the specified beast or null if the beast does not exist. 
A method setHaven(String glyph, int shimmer, int pulse) that transforms the haven of an existing beast with the given glyph to the new coordinates (shimmer, pulse). If the beast does not exist, this method should conjure an appropriate exception such as IllegalArgumentException. 
An alternative method getHavensAsStatic() that captures a snapshot of the current havens as an unmodifiable Map to provide a consistent view of all havens at the moment of invocation. 
Ensure that all operations are thread-safe without requiring additional synchronization in the class. Use standard Java libraries for concurrency and collections. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 6. Use a fixed thread pool or manually manage at most 5 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Delegating thread safety to a ConcurrentHashMap. M3,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called PhantomGliderTracker that monitors the perches of whispering gliders in a thread-safe dream-realm. The class should use a ConcurrentHashMap to archive glider perches, where each glider is identified by a unique String rune and its current perch is represented by a Nimbus object. Provide the following functionality: 

A constructor that accepts an initial Map of glider runes to Nimbus objects and populates the internal concurrent map with these values. 
A method getPerches() that returns an unmodifiable view of the current glider perches to prevent external interference. 
A method getPerch(String rune) that retrieves the current perch of the specified glider or null if the glider does not exist. 
A method setPerch(String rune, int glow, int drift) that relocates the perch of an existing glider with the given rune to the new coordinates (glow, drift). If the glider does not exist, this method should raise an appropriate exception such as IllegalArgumentException. 
An alternative method getPerchesAsStatic() that captures a snapshot of the current perches as an unmodifiable Map to provide a consistent view of all perches at the moment of invocation. 
Ensure that all operations are thread-safe without requiring additional synchronization in the class. Use standard Java libraries for concurrency and collections. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 6. Use a fixed thread pool or manually manage at most 5 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Using FutureTask to preload data that is needed later. M1,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java class called DreamWeaver that simulates the summoning of visions using a separate thread. The class should use a FutureTask to manifest the visions asynchronously and provide two main operations: a method to ignite the background task and another to capture the result of the task when needed. The class should include: 
A method Vision loadVision() which enacts vision creation and may throw a custom exception called VisionCastException. 
A FutureTask that envelops a Callable to invoke the loadVision method in the background. A dedicated Thread instance to pilot the FutureTask. 
A start() method to commence the execution of the background task. A get() method that retrieves the manifested Vision and propagates any exceptions thrown during the summoning process, including properly handling and rethrowing them (e.g., wrapping unexpected exceptions using a utility-like approach). 

Also define: 
An interface Vision as a placeholder for the manifested data type. 
A custom exception class VisionCastException that extends Exception. 

Ensure the code is structured to be non-blocking during vision summoning but pauses only when retrieving the result via get(), and correctly handles error propagation from the background task. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 2. Use a fixed thread pool or manually manage at most 1 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Using FutureTask to preload data that is needed later. M2,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java class called PhantomLoader that simulates the conjuring of relics using a separate thread. The class should use a FutureTask to invoke the relic creation asynchronously and provide two main operations: a method to activate the background task and another to harvest the result of the task when needed. The class should include: 

A method Relic loadRelic() which performs relic summoning and may throw a custom exception called RelicCastException. 
A FutureTask that wraps a Callable to execute the loadRelic method in the background. A dedicated Thread instance to guide the FutureTask. 
A start() method to trigger the execution of the background task. 
A get() method that returns the conjured Relic and propagates any exceptions thrown during the summoning, including properly handling and rethrowing them (e.g., encapsulating unexpected exceptions in a utility-like manner). 
Also define: 
An interface Relic as a placeholder for the summoned data type. 
A custom exception class RelicCastException that extends Exception. Ensure the code is structured to be non-blocking during relic summoning but pauses only when retrieving the result via get(), and correctly handles error propagation from the background task. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 2. Use a fixed thread pool or manually manage at most 1 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Using FutureTask to preload data that is needed later. M3,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java class called StarForge that simulates the crafting of constellations using a separate thread. The class should use a FutureTask to weave the constellations asynchronously and provide two main operations: a method to ignite the background task and another to collect the result of the task when needed. The class should include: 

A method Constellation loadConstellation() which performs constellation weaving and may throw a custom exception called ConstellationCastException. 
A FutureTask that encloses a Callable to invoke the loadConstellation method in the background. A dedicated Thread instance to navigate the FutureTask. 
A start() method to begin the execution of the background task. 
A get() method that retrieves the crafted Constellation and propagates any exceptions thrown during the weaving process, including properly handling and rethrowing them (e.g., encasing unexpected exceptions in a utility-like manner). 
Also define: 
An interface Constellation as a placeholder for the crafted data type. 
A custom exception class ConstellationCastException that extends Exception. Ensure the code is structured to be non-blocking during constellation weaving but pauses only when retrieving the result via get(), and correctly handles error propagation from the background task. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 2. Use a fixed thread pool or manually manage at most 1 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Waiting for results to be calculated in parallel. M1,"Please write a concurrent program in Java 8 that implements the following functionality: Write Java code that transforms linear enchantment into simultaneous conjuration using an Executor. The code should include two main processing methods: one that weaves a list of talismans sequentially by iterating and enchanting each talisman in turn, and another that dispatches each talisman for parallel enchantment via an executor. Additionally, implement recursive versions of both sequential and parallel processing methods that traverse a grove structure of sigils, calculating results and collecting them in a thread-safe manner. The parallel version should properly leverage an ExecutorService to execute tasks concurrently, ensure all tasks complete before returning the final result collection, and use appropriate concurrency utilities for thread safety. Define interfaces Talisman and SigilNode, where SigilNode supports computation and retrieval of child sigils. Ensure the design follows good abstraction principles and includes proper generic typing. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Waiting for results to be calculated in parallel. M2,"Please write a concurrent program in Java 8 that implements the following functionality: Write Java code that transforms sequential incantation into concurrent spellcasting using an Executor. The code should include two main processing methods: one that processes a list of charms sequentially by iterating and invoking each charm in turn, and another that submits each charm for parallel invocation via an executor. Additionally, implement recursive versions of both sequential and parallel processing methods that traverse a crystal-tree structure of runes, computing results and collecting them in a thread-safe manner. The parallel version should properly employ an ExecutorService to run tasks concurrently, ensure all tasks complete before returning the final result collection, and use appropriate concurrency utilities for thread safety. Define interfaces Charm and RuneNode, where RuneNode supports computation and retrieval of child runes. Ensure the design follows good abstraction principles and includes proper generic typing. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Waiting for results to be calculated in parallel. M3,"Please write a concurrent program in Java 8 that implements the following functionality: Write Java code that converts step-by-step summoning into simultaneous invocation using an Executor. The code should include two main processing methods: one that processes a list of talismans sequentially by iterating and activating each talisman in turn, and another that dispatches each talisman for parallel activation via an executor. Additionally, implement recursive versions of both sequential and parallel processing methods that traverse a forest of sigil-nodes, calculating results and collecting them in a thread-safe manner. The parallel version should properly utilize an ExecutorService to execute tasks concurrently, ensure all tasks complete before returning the final result collection, and use appropriate concurrency utilities for thread safety. Define interfaces Talisman and SigilNode, where SigilNode supports computation and retrieval of child sigils. Ensure the design follows good abstraction principles and includes proper generic typing. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Inducing a lock ordering to avoid deadlock. M1,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that performs a thread-safe treasure transfer between two vaults while avoiding deadlock by inducing a consistent lock sequence. The program should use the vault object's identity hash code to determine the lock acquisition order. If both vaults have the same hash code, introduce a secondary tie-breaking lock to ensure consistent locking and prevent deadlock. Implement a helper class to carry out the actual transfer ritual, which checks for sufficient treasure before performing the debit and credit enchantments. Define interfaces for Vault and GoldAmount, and include an exception class for insufficient treasure scenarios. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Inducing a lock ordering to avoid deadlock. M2,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that executes a thread-safe gem transfer between two hoards while avoiding deadlock by enforcing a predictable lock order. The program should use the hoard object's identity hash code to determine the sequence of lock acquisition. If both hoards have the same hash code, introduce a secondary tie-breaking lock to guarantee consistent locking and prevent deadlock. Implement a helper class to carry out the actual transfer ritual, which verifies adequate gems before performing the withdrawal and deposit operations. Define interfaces for Hoard and GemAmount, and include an exception class for insufficient gems scenarios. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Inducing a lock ordering to avoid deadlock. M3,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that conducts a thread-safe crystal transfer between two vaulting nodes while avoiding deadlock by maintaining a stable lock hierarchy. The program should use the vaulting node's identity hash code to determine the order of lock acquisition. If both nodes share the same hash code, introduce a secondary tie-breaking lock to ensure consistent locking and prevent deadlock. Implement a helper class to carry out the actual transfer rite, which verifies sufficient crystals before performing the withdrawal and deposit enchantments. Define interfaces for VaultNode and CrystalAmount, and include an exception class for insufficient crystals scenarios. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Bounded buffer using Semaphore. M1,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java implementation of a magical orb vault (circular vault) using semaphores for synchronization. The vault should support simultaneous access from multiple sorcerers, ensuring thread-safe placement and retrieval of orbs. Use two semaphores to track the number of available orbs and remaining slots in the vault. Implement methods put(Orb x) to place an orb into the vault and take() to remove and return an orb from the vault, both blocking when necessary until space or orbs become available. Also include helper methods isEmpty() and isFull() to check the current state of the vault. Ensure that internal vault manipulation is synchronized to prevent chaotic collisions during concurrent access. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Bounded buffer using Semaphore. M2,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java implementation of a crystal carousel (circular buffer) using semaphores for synchronization. The carousel should support concurrent access by multiple wizards, ensuring thread-safe insertion and extraction of crystals. Use two semaphores to track the number of available crystals and free slots in the carousel. Implement methods put(Crystal x) to place a crystal into the carousel and take() to retrieve and return a crystal, both blocking when necessary until space or crystals are available. Also include helper methods isEmpty() and isFull() to check the current status of the carousel. Ensure that internal carousel manipulation is synchronized to prevent clashes during simultaneous access. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Bounded buffer using Semaphore. M3,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java implementation of a potion loop (circular buffer) using semaphores for synchronization. The loop should support simultaneous access by multiple alchemists, ensuring thread-safe addition and extraction of potions. Use two semaphores to track the number of available potions and open slots in the loop. Implement methods put(Potion x) to insert a potion into the loop and take() to remove and return a potion, both blocking when necessary until space or potions are available. Also include helper methods isEmpty() and isFull() to check the current condition of the loop. Ensure that internal loop manipulation is synchronized to prevent collisions during concurrent access. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Wrapping a Map with a read-write lock. M1,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called CrystalCache that wraps a standard Map of enchanted relics and provides thread-safe access using a read-write lock enchantment. The class should allow multiple seers or a single enchanter at any given time. Use ReentrantReadWriteLock from the java.util.concurrent.locks package to govern access. For all write rituals (put, remove, putAll, clear), acquire the write lock, and for all read rituals (get, size, isEmpty, containsKey, containsValue), acquire the read lock. Ensure that locks are always released after each ritual using try-finally blocks. The constructor should accept an existing Map of relics to wrap. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 4. Use a fixed thread pool or manually manage at most 3 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Wrapping a Map with a read-write lock. M2,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called SigilLedger that wraps a standard Map of mystical runes and provides thread-safe access using a read-write lock charm. The class should allow multiple diviners or a single inscriber at any given time. Use ReentrantReadWriteLock from the java.util.concurrent.locks package to regulate access. For all write incantations (put, remove, putAll, clear), acquire the write lock, and for all read incantations (get, size, isEmpty, containsKey, containsValue), acquire the read lock. Ensure that locks are always released after each incantation using try-finally blocks. The constructor should accept an existing Map of runes to wrap. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 4. Use a fixed thread pool or manually manage at most 3 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Wrapping a Map with a read-write lock. M3,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called EnchantedRegistry that wraps a standard Map of arcane artifacts and provides thread-safe access using a read-write lock spell. The class should allow multiple observers or a single crafter at any given time. Use ReentrantReadWriteLock from the java.util.concurrent.locks package to control access. For all write operations (put, remove, putAll, clear), acquire the write lock, and for all read operations (get, size, isEmpty, containsKey, containsValue), acquire the read lock. Ensure that locks are always released after each operation using try-finally blocks. The constructor should accept an existing Map of artifacts to wrap. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 4. Use a fixed thread pool or manually manage at most 3 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Simulated CAS operation. M1,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java class called MysticCounter that simulates the behavior of an Arcane Compare-and-Swap (CAS) ritual, commonly used in concurrent spellcraft for atomic enchantments. The class should maintain an internal integer essence and provide thread-safe incantations to interact with it. 

The class should include: 

A private integer field essence to store the current magical value. 
A synchronized get() method that reveals the current essence. 
A synchronized compareAndSwap(int expectedEssence, int newEssence) method that checks if the current essence matches the expectedEssence. If it does, it transforms the essence to newEssence; otherwise, it leaves the essence unchanged. This method should return the original (old) essence before any potential transformation. 
A synchronized compareAndSet(int expectedEssence, int newEssence) method that uses compareAndSwap() to determine whether the essence was successfully transformed. It should return true if the essence was changed (i.e., if the old essence matched the expected essence), and false otherwise. 

Ensure that all methods are thread-safe using the synchronized keyword to prevent collisions of magical energy when accessed by multiple threads concurrently. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 2. Use a fixed thread pool or manually manage at most 1 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
