Topic,Prompt
Hash-based map using lock striping.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called StripedMap that implements a hash-based map using lock striping for concurrency control. The map should use an array of buckets to store key-value pairs, and an array of lock objects to synchronize access to the buckets. Each bucket at index n should be guarded by the lock at index n % N_LOCKS, where N_LOCKS is a constant set to 16. Implement a static inner class Node to represent entries in the map, with fields for the key, value, and a reference to the next node in case of collisions. Include a constructor that initializes the number of buckets, and methods for computing the hash index, retrieving values based on a key, and clearing all entries from the map. Ensure thread safety by synchronizing on the appropriate lock object in both the get and clear methods. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 5. Use a fixed thread pool or manually manage at most 4 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Bounded buffer using Semaphore.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java implementation of a bounded buffer (circular buffer) using semaphores for synchronization. The buffer should support concurrent access from multiple threads, ensuring thread-safe insertion and removal operations. Use two semaphores to track the number of available items and remaining spaces in the buffer. Implement methods put(E x) to insert an item into the buffer and take() to remove and return an item from the buffer, both blocking when necessary until space or data becomes available. Also include helper methods isEmpty() and isFull() to check the current state of the buffer. Ensure that internal buffer manipulation is synchronized to prevent race conditions during concurrent access. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Avoiding lock-ordering deadlock using try Lock.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that implements a deadlock avoidance mechanism for transferring money between two accounts. The program should use ReentrantLock to prevent deadlocks when acquiring locks on the source and destination accounts. Instead of blocking indefinitely, the implementation should utilize the tryLock() method with a timeout and random backoff strategy to attempt acquiring the locks. If both account locks are successfully acquired, the transfer should proceed only if the source account has sufficient funds; otherwise, an InsufficientFundsException is thrown. If the timeout period elapses before both locks can be acquired, the method should return false. The transfer method should accept parameters for the source account, destination account, amount to transfer, timeout duration, and time unit. Additionally, include nested classes for DollarAmount and Account, along with the custom exception InsufficientFundsException. Implement helper methods for calculating fixed and random delay components to be used before retrying the lock acquisition. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Wrapping a Map with a read-write lock.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called ReadWriteMap that wraps a standard Map and provides thread-safe access using a read-write lock mechanism. The class should allow multiple readers or a single writer at any given time. Use ReentrantReadWriteLock from the java.util.concurrent.locks package to control access. For all write operations (put, remove, putAll, clear), acquire the write lock, and for all read operations (get, size, isEmpty, containsKey, containsValue), acquire the read lock. Ensure that locks are always released after each operation using try-finally blocks. The constructor should accept an existing Map instance to wrap. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 4. Use a fixed thread pool or manually manage at most 3 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Simulated CAS operation.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java class called SimulatedCAS that simulates the behavior of a Compare-and-Swap (CAS) operation, which is commonly used in concurrent programming for atomic updates. The class should maintain an internal integer value and provide thread-safe methods to interact with it.

The class should include:

A private integer field value to store the current value.
A synchronized get() method that returns the current value.
A synchronized compareAndSwap(int expectedValue, int newValue) method that checks if the current value matches the expectedValue. If it does, it updates the value to newValue; otherwise, it leaves the value unchanged. This method should return the original (old) value before any potential update.
A synchronized compareAndSet(int expectedValue, int newValue) method that uses compareAndSwap() to determine whether the value was successfully updated. It should return true if the value was changed (i.e., if the old value matched the expected value), and false otherwise.
Ensure that all methods are thread-safe using the synchronized keyword to prevent race conditions when accessed by multiple threads concurrently. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 2. Use a fixed thread pool or manually manage at most 1 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Nonblocking stack using Treiber's algorithm.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java class implementing a thread-safe, non-blocking stack using Treiber's algorithm. The stack should support concurrent push and pop operations without using locks. Use AtomicReference to manage the top of the stack and ensure atomicity during modifications. Include a nested static Node class to represent each element in the stack, with each node containing an item and a reference to the next node. The push method should atomically update the top of the stack to add a new node, and the pop method should remove and return the top element if the stack is not empty, also in an atomic manner using compare-and-set semantics. Provide a main method that demonstrates the functionality of the stack by creating a fixed-size thread pool and submitting multiple tasks that concurrently perform push and pop operations. Each task should push five integers onto the stack and then pop five times, printing out each operation. Ensure proper synchronization so that the main method waits for all threads to finish before printing a completion message. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 4. Use a fixed thread pool or manually manage at most 3 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Thread-safe lazy initialization.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a thread-safe lazy initialization implementation in Java. The class should ensure that a resource is only instantiated when it is first requested, and the initialization must be synchronized to prevent race conditions in a multi-threaded environment. Use a static method to provide access to the shared instance of the resource. Do not use double-checked locking; instead, rely on coarse-grained synchronization to keep the implementation simple and safe. Also, define a placeholder nested Resource class that represents the lazily initialized resource. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 4. Use a fixed thread pool or manually manage at most 3 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Eager initialization.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that demonstrates eager initialization of a singleton resource. The program should include a class with a static instance of the resource that is created at the time of class loading. Provide a static method to retrieve this instance. The resource class should have a simple method (e.g., doSomething) that outputs a message to the console. In the main method, create and start multiple threads that access the shared resource and invoke the doSomething method. Ensure all threads complete before printing a final message indicating completion. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 4. Use a fixed thread pool or manually manage at most 3 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Lazy initialization holder class idiom.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java program that implements a thread-safe singleton pattern using a static nested class to lazily initialize a resource. The main class should provide a public static method to access the singleton instance. Simulate resource initialization by adding a delay in the constructor and assign a unique ID to each instance using its identity hash code. Include a main method that starts multiple threads to concurrently access the singleton resource and print its ID along with the thread name. Ensure that only one instance of the resource is created, even under multi-threaded conditions. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Simple thread-safe counter using the Java monitor pattern.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a thread-safe Counter class in Java using the monitor pattern, where all methods are synchronized to ensure safe access from multiple threads. The class should have a private long field named value initialized to 0. It must provide two synchronized methods: getValue() returns the current value, and increment() increases the value by one and returns it. If the value is already at Long.MAX_VALUE, increment() should throw an IllegalStateException with the message ""counter overflow"". Keep the implementation simple and avoid any external annotations or dependencies. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword. 
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Monitor-based vehicle tracker implementation.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a thread-safe MonitorVehicleTracker class in Java that tracks the locations of vehicles using a synchronized map. The class should take an initial Map<String, MutablePoint> in its constructor and make a deep copy of it to prevent external modification. All public methods must be synchronized to ensure thread safety. Implement a getLocations() method that returns an unmodifiable deep copy of the entire map. Also provide a getLocation(String id) method that returns a new MutablePoint copy of the location for the given ID, or null if not found. Include a setLocation(String id, int x, int y) method that updates the coordinates for the specified vehicle and throws an IllegalArgumentException if the ID is not present. Use a private static deepCopy method to create a new map with copies of all MutablePoint values. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Using Semaphore to bound a collection.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a generic BoundedHashSet<T> class in Java that uses a Semaphore to limit the number of elements it can hold. The class should internally use a thread-safe Set<T> (such as Collections.synchronizedSet(new HashSet<>())) and a fixed-size Semaphore initialized with the given bound. The add(T o) method must acquire a permit from the semaphore before attempting to add an element; if the addition fails, the permit should be released back. If successful, the permit is not released — it's considered consumed until the element is removed. The remove(Object o) method should remove the element from the set and release a permit if the removal was successful. Both methods should handle synchronization and resource management correctly. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 5. Use a fixed thread pool or manually manage at most 4 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Custom thread factory.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a custom ThreadFactory implementation called MyThreadFactory that generates instances of a specialized thread class named MyAppThread. The factory should take a poolName string as a constructor argument and use it to identify the thread group or pool. The newThread(Runnable runnable) method must return a new instance of MyAppThread, passing in the provided Runnable and the poolName.
The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 6. Use a fixed thread pool or manually manage at most 5 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Custom thread base class.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a custom MyAppThread class that extends Thread and provides enhanced lifecycle tracking and error handling for application threads. The class should use a static String constant DEFAULT_NAME = ""MyAppThread"" as the default thread name prefix. Each thread should be assigned a unique name by appending an auto-incrementing number from a shared AtomicInteger. Set up an uncaught exception handler to log severe errors using a static Logger, including the thread name and exception details. Override the run() method to optionally log the creation and termination of each thread based on a static volatile boolean flag debugLifecycle. Also, maintain two atomic counters: one for total threads created (created) and one for currently active threads (alive). These counters should be updated in run(), with alive incremented before calling super.run() and decremented in a finally block. Provide public static getter methods for these counters and a setDebug(boolean) method to enable or disable debug logging. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 6. Use a fixed thread pool or manually manage at most 5 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Driver loop that induces deadlock under typical conditions.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java class named DemonstrateDeadlock that simulates concurrent money transfers between multiple accounts to demonstrate the possibility of deadlock in multithreaded applications. The program should create a fixed number of threads (e.g., 2) and a fixed number of account objects (e.g., 5). Each thread performs a large number of random transfers (e.g., 10 iterations), selecting two random accounts and transferring a random amount using a method from a class called DynamicOrderDeadlock.transferMoney(Account from, Account to, DollarAmount amount). This method is expected to lock both accounts before performing the transfer and may throw an InsufficientFundsException, which should be caught and ignored. Each account is initialized with a default value and must be thread-safe or synchronized as needed. Use a nested static class TransferThread that extends Thread and implements the transfer logic. Use Random to generate random indices for accounts and amounts. 
The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Reducing lock duration.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a class named BetterAttributeStore that stores user attributes in a Map<String, String>, where keys follow a format like ""users.name.location"". The class should provide a method userLocationMatches(String name, String regexp) that retrieves the location attribute for a given user and checks whether it matches a regular expression using Pattern.matches(). To ensure thread safety when accessing the map, use a synchronized block on the instance (this) to read the value from the map. If the key is not present or the value is null, the method should return false. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 5. Use a fixed thread pool or manually manage at most 4 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Candidate for lock splitting.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a class named ServerStatusBeforeSplit that maintains two sets of strings: one for users and one for queries. Both sets should be initialized in the constructor using HashSet<String>. All modification methods—such as adding or removing a user or query—should be synchronized on the instance (this) to ensure thread safety when multiple threads access the class concurrently. Provide four synchronized methods: addUser(String u), addQuery(String q), removeUser(String u), and removeQuery(String q)—each performing the corresponding operation on its respective set. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
ServerStatus refactored to use split locks.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a class named ServerStatusAfterSplit that maintains two sets of strings: one for users and one for queries. Both sets should be initialized in the constructor using HashSet<String>. To improve concurrency performance, each method that modifies a set should synchronize on the corresponding collection object (users or queries) rather than the entire instance. This allows multiple threads to modify different sets concurrently without blocking each other. Implement four methods: addUser(String u), addQuery(String q), removeUser(String u), and removeQuery(String q), each of which performs the appropriate operation on its respective set while holding the lock on that specific collection. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Barrier-based timer.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a thread-safe BarrierTimer class that implements the Runnable interface and is used to measure the time between two events in a concurrent environment. The class should have three instance variables: a boolean started, and two long values startTime and endTime. When the run() method is called, it records the current time using System.nanoTime(). If this is the first call (i.e., started is false), it sets started to true and stores the time as startTime. On subsequent calls, it updates endTime with the current time. Provide a clear() method that resets the timer by setting started back to false. Also provide a getTime() method that returns the difference between endTime and startTime, representing the elapsed time in nanoseconds. All methods must be synchronized to ensure thread safety. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Nonblocking counter using CAS.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a thread-safe CasCounter class that uses a custom SimulatedCAS implementation to provide atomic increment functionality using the Compare-and-Swap (CAS) pattern. The CasCounter should have an internal SimulatedCAS field and expose two methods: getValue() which returns the current counter value, and increment() which atomically increments the value using a loop with CAS logic. The SimulatedCAS class must implement a compareAndSwap(int expected, int newValue) method that performs the swap only if the current value matches the expected one, returning the original value in both cases. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else. 
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
